Age,Referrals,Tenure_Months,Add-on Service,Monthly Charge,Churn Score
78,0,1,3,39.65,91
74,1,8,5,80.65,69
71,0,18,7,95.45,81
78,1,25,7,98.5,88
80,1,37,4,76.5,67
72,0,27,4,78.05,95
76,1,1,3,70.45,76
66,6,58,5,45.3,91
70,0,15,4,74.45,91
77,0,7,3,76.45,81
78,0,11,5,95,85
65,0,15,4,74.4,86
77,1,1,4,40.2,65
67,0,3,5,41.15,96
68,0,13,7,106.9,84
68,0,16,7,94.45,81
66,0,8,4,74.5,80
69,0,24,4,76.1,91
74,0,4,6,95.45,85
76,2,32,4,74.9,69
77,1,24,7,93.15,73
70,0,54,10,82.45,83
74,0,2,3,70.35,73
77,0,21,4,41.9,90
71,0,27,2,30.75,91
79,1,11,1,19.95,80
66,2,55,5,85.45,91
77,0,3,5,81.35,73
80,0,1,3,75.3,67
77,0,5,3,28.45,89
77,0,20,6,94.1,87
72,4,5,4,74.35,82
80,2,27,4,75.2,91
74,0,4,6,89.2,74
68,0,1,5,85.7,66
78,3,65,8,105.25,91
75,3,49,6,90.05,96
77,1,43,9,110.75,65
80,0,56,8,104.55,91
75,7,20,7,94.55,84
69,0,2,7,89.5,80
74,0,8,1,19.65,83
76,0,52,5,49.15,90
69,0,2,4,49.25,95
72,1,33,6,94.5,91
69,0,30,7,91.7,90
73,0,20,6,98.55,92
65,0,46,10,110,81
74,1,7,6,95.6,83
65,0,4,4,78.85,72
66,0,55,7,100,83
71,1,20,4,73.65,95
65,0,9,8,100.5,70
69,0,10,3,72.85,91
75,0,1,4,73.55,94
75,0,3,5,79.4,91
68,0,4,5,84.6,83
71,0,35,6,99.05,82
80,0,2,3,44.95,84
66,0,8,8,100.3,74
73,2,44,3,30.35,96
77,1,62,9,103.75,91
76,1,33,5,80.6,72
65,0,4,7,94.3,91
75,1,27,4,75.5,65
75,0,8,7,100.6,90
68,1,3,6,88.3,68
71,0,8,6,92.1,81
74,0,14,5,90.45,96
77,0,12,5,43.65,74
73,0,13,4,74.3,90
68,0,11,5,89.7,89
74,1,17,7,100.45,87
65,1,39,9,105.65,96
73,5,11,8,104.05,82
74,1,3,4,80.4,89
80,0,21,5,60.05,70
76,0,16,6,96.15,96
73,0,46,6,95.25,90
70,1,68,6,89.6,69
75,1,7,5,89.5,89
74,1,15,5,85.6,83
76,0,16,5,86.6,81
75,0,1,3,69.25,75
74,0,1,2,25.2,67
73,0,13,7,95.05,90
69,0,1,4,79.2,76
75,1,34,7,94.25,88
65,0,4,8,99.8,89
77,0,2,6,93.85,72
67,0,9,5,84.4,83
78,0,5,4,75.55,90
65,0,22,6,96.7,93
74,0,19,6,88.2,69
70,0,15,4,75.65,96
69,0,1,4,74.7,88
76,0,1,1,25.8,90
71,0,10,6,95.35,75
76,0,3,2,45,77
77,1,12,4,80.45,69
74,0,2,4,74.7,81
77,0,1,5,88.8,91
76,1,13,6,89.05,82
77,0,23,6,94.75,95
80,1,17,6,85.35,90
68,0,17,3,45.05,93
79,0,42,5,84.65,90
65,0,1,4,79.1,92
68,0,1,4,50.15,91
72,0,1,3,69.6,96
66,0,41,10,113.2,89
68,0,13,5,90.5,76
69,1,32,6,85,94
76,1,32,6,85.3,75
70,1,57,5,44.85,82
71,0,1,3,45.1,79
75,0,1,5,43.3,91
67,0,38,5,57.15,75
65,1,35,8,100.5,81
80,0,1,3,45.1,70
71,1,30,4,50.4,83
70,0,5,4,78.95,65
73,0,1,6,93.55,81
78,1,58,9,108.85,91
76,0,16,5,84.75,91
73,0,1,2,69.95,94
68,1,5,4,81,91
79,0,21,6,96.8,87
67,0,43,8,108.15,86
69,1,32,6,93.2,90
72,0,1,3,70.55,82
75,1,29,7,98.5,72
67,1,13,7,95.25,90
72,1,7,4,74.4,96
68,0,2,7,88.55,80
68,0,1,6,91.3,71
75,1,7,3,70.1,83
74,1,57,7,95.25,86
78,4,1,7,100.8,65
66,2,17,4,76.45,92
73,0,3,5,86.85,70
79,1,66,7,99.5,96
69,1,69,9,108.4,73
65,2,15,5,83.05,70
68,0,56,8,104.75,93
79,0,21,6,94.25,73
80,0,1,3,70.15,71
77,3,32,8,106.35,65
65,1,40,7,94.55,95
66,0,2,2,24.45,77
75,0,7,4,84.8,70
74,0,31,7,99.95,96
80,0,14,8,104.85,86
74,0,15,4,74.2,80
70,0,59,6,93.85,85
76,3,46,8,100.7,72
72,0,25,6,89.7,82
66,0,16,6,96.4,80
75,0,1,2,69.5,77
65,1,36,6,85.25,82
79,0,45,6,62.7,92
73,0,25,8,105.95,91
79,0,39,5,95.65,65
70,1,31,7,98.9,91
71,0,3,4,76.05,67
69,0,1,3,69.75,69
70,0,33,9,110.45,80
71,1,7,8,99.25,90
67,0,19,5,79.85,65
67,2,8,4,80.45,91
69,0,13,7,100.8,65
75,0,10,4,79.25,87
67,0,5,5,89.5,66
66,0,1,5,86.05,96
67,0,10,3,34.7,92
71,1,53,5,60.05,77
74,1,16,4,74.3,81
70,0,9,4,74.55,69
76,1,32,8,104.9,79
67,1,1,3,74.4,91
80,0,8,3,69.7,88
67,1,12,7,98.1,90
68,1,4,7,99.6,77
69,1,70,8,102.95,91
80,0,1,3,71,72
73,1,47,3,70.55,82
73,1,1,3,69.25,87
65,0,12,5,83.8,78
73,0,53,6,54.45,65
78,0,41,7,99.8,76
68,0,5,3,70.25,89
65,1,69,5,89.95,82
67,0,14,4,74.95,70
70,0,32,4,74.4,90
69,1,50,3,71.05,94
73,0,2,3,30.4,90
74,0,23,8,106.4,79
78,0,2,5,85.55,86
77,1,30,5,79.65,73
70,0,1,1,19.45,78
78,0,32,5,85.95,74
75,0,16,5,59.4,87
75,0,38,7,99.55,91
76,0,2,7,95.1,90
70,1,17,4,81.5,79
67,1,3,3,36.45,89
69,0,1,2,25.05,65
70,1,43,6,55.55,85
74,2,10,5,86.65,84
77,0,37,8,106.75,92
66,1,12,7,101.35,68
70,0,35,5,95.45,91
68,0,1,3,69.6,74
65,0,1,4,78.45,67
76,0,9,5,84.45,95
73,0,38,7,70.15,82
70,0,51,7,97.8,81
68,0,5,5,83.15,96
77,0,2,4,75.45,65
73,0,2,5,54.85,96
71,1,1,6,95.1,70
69,1,53,7,101.9,94
80,1,51,7,93.8,83
66,0,72,8,104.15,74
79,0,5,5,91.4,78
80,0,1,4,75.35,92
78,0,11,5,84.8,67
67,1,50,6,95.05,92
73,0,5,4,50.35,81
75,0,5,6,89.8,88
67,0,9,7,99.45,93
75,0,2,3,70.2,67
80,2,51,6,84.2,74
72,0,26,8,105.75,91
70,1,18,6,48.35,92
73,1,1,4,49.55,76
75,1,2,4,50.15,78
70,1,29,7,95.9,95
77,0,1,2,25.25,87
80,1,46,7,101,88
78,0,1,2,71.15,85
69,0,20,5,79.15,95
71,1,46,3,80.4,75
70,0,2,6,93.85,70
66,0,1,5,55.8,87
77,0,41,7,98.4,91
71,1,66,8,79.4,73
68,0,35,7,101.4,92
71,0,10,6,89.8,76
79,0,26,5,91.25,76
80,0,18,6,85.45,91
